year_film,decade_film,release_date,year_ceremony,ceremony,film,original_title,name,category,winner
1928,1920,1928-01-29,1929,1,The Noose,The Noose,Richard Barthelmess,ACTOR,FALSE
1928,1920,1928-01-21,1929,1,The Last Command,The Last Command,Emil Jannings,ACTOR,TRUE
1928,1920,1928-01-04,1929,1,A Ship Comes In,A Ship Comes In,Louise Dresser,ACTRESS,FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Janet Gaynor,ACTRESS,TRUE
1928,1920,1928-01-07,1929,1,Sadie Thompson,Sadie Thompson,Gloria Swanson,ACTRESS,FALSE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Rochus Gliese,ART DIRECTION,FALSE
1927,1920,1927-12-31,1929,1,The Dove,The Dove,William Cameron Menzies,ART DIRECTION,TRUE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Harry Oliver,ART DIRECTION,FALSE
1927,1920,1927-11-03,1929,1,The Devil Dancer,The Devil Dancer,George Barnes,CINEMATOGRAPHY,FALSE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Charles Rosher,CINEMATOGRAPHY,TRUE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Karl Struss,CINEMATOGRAPHY,TRUE
1927,1920,1927-09-23,1929,1,Two Arabian Knights,Two Arabian Knights,Lewis Milestone,DIRECTING (Comedy Picture),TRUE
1928,1920,1928-04-07,1929,1,Speedy,Speedy,Ted Wilde,DIRECTING (Comedy Picture),FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Frank Borzage,DIRECTING (Dramatic Picture),TRUE
1927,1920,1927-12-02,1929,1,Sorrell and Son,Sorrell and Son,Herbert Brenon,DIRECTING (Dramatic Picture),FALSE
1928,1920,1928-03-03,1929,1,The Crowd,The Crowd,King Vidor,DIRECTING (Dramatic Picture),FALSE
1927,1920,NA,1929,1,NA,NA,Ralph Hammeras,ENGINEERING EFFECTS,FALSE
1927,1920,1927-08-12,1929,1,Wings,Wings,Roy Pomeroy,ENGINEERING EFFECTS,TRUE
1927,1920,NA,1929,1,NA,NA,Nugent Slaughter,ENGINEERING EFFECTS,FALSE
1928,1920,1928-11-01,1929,1,The Racket,The Racket,The Caddo Company,OUTSTANDING PICTURE,FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Fox,OUTSTANDING PICTURE,FALSE
1927,1920,1927-08-12,1929,1,Wings,Wings,Paramount Famous Lasky,OUTSTANDING PICTURE,TRUE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Fox,UNIQUE AND ARTISTIC PICTURE,TRUE
1928,1920,1928-03-03,1929,1,The Crowd,The Crowd,Metro-Goldwyn-Mayer,UNIQUE AND ARTISTIC PICTURE,FALSE
1927,1920,1973-09-17,1929,1,Chang,Иван Васильевич меняет профессию,Paramount Famous Lasky,UNIQUE AND ARTISTIC PICTURE,FALSE
1927,1920,1927-10-06,1929,1,The Jazz Singer,The Jazz Singer,Alfred Cohn,WRITING (Adaptation),FALSE
1928,1920,1928-04-25,1929,1,Glorious Betsy,Glorious Betsy,Anthony Coldeway,WRITING (Adaptation),FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Benjamin Glazer,WRITING (Adaptation),TRUE
1928,1920,1928-01-21,1929,1,The Last Command,The Last Command,Lajos Biro,WRITING (Original Story),FALSE
1927,1920,1927-08-20,1929,1,Underworld,Underworld,Ben Hecht,WRITING (Original Story),TRUE
1927,1920,1927-12-09,1929,1,The Private Life of Helen of Troy,The Private Life of Helen of Troy,Gerald Duffy,WRITING (Title Writing),FALSE
1927,1920,NA,1929,1,NA,NA,Joseph Farnham,WRITING (Title Writing),TRUE
1927,1920,NA,1929,1,NA,NA,"George Marion, Jr.",WRITING (Title Writing),FALSE
1927,1920,NA,1929,1,NA,NA,Warner Bros.,SPECIAL AWARD,TRUE
1927,1920,NA,1929,1,NA,NA,Charles Chaplin,SPECIAL AWARD,TRUE
1929,1920,1929-06-20,1930,2,Thunderbolt,Thunderbolt,George Bancroft,ACTOR,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Warner Baxter,ACTOR,TRUE
1929,1920,1929-04-20,1930,2,Alibi,Alibi,Chester Morris,ACTOR,FALSE
1929,1920,1929-05-19,1930,2,The Valiant,The Valiant,Paul Muni,ACTOR,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Lewis Stone,ACTOR,FALSE
1929,1920,1929-08-17,1930,2,Madame X,Madame X,Ruth Chatterton,ACTRESS,FALSE
1928,1920,1928-12-09,1930,2,The Barker,The Barker,Betty Compson,ACTRESS,FALSE
1929,1920,1929-03-17,1930,2,The Letter,The Letter,Jeanne Eagels,ACTRESS,FALSE
1929,1920,1929-03-31,1930,2,The Divine Lady,The Divine Lady,Corinne Griffith,ACTRESS,FALSE
1929,1920,1929-02-08,1930,2,The Broadway Melody,The Broadway Melody,Bessie Love,ACTRESS,FALSE
1929,1920,1929-03-30,1930,2,Coquette,Coquette,Mary Pickford,ACTRESS,TRUE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Hans Dreier,ART DIRECTION,FALSE
1929,1920,1929-03-30,1930,2,The Bridge of San Luis Rey,The Bridge of San Luis Rey,Cedric Gibbons,ART DIRECTION,TRUE
1929,1920,1929-12-13,1930,2,Dynamite,Dynamite,Mitchell Leisen,ART DIRECTION,FALSE
1929,1920,1929-04-20,1930,2,Alibi,Alibi,William Cameron Menzies,ART DIRECTION,FALSE
1928,1920,1928-04-09,1930,2,Street Angel,Street Angel,Harry Oliver,ART DIRECTION,FALSE
1928,1920,1928-09-01,1930,2,Our Dancing Daughters,Our Dancing Daughters,George Barnes,CINEMATOGRAPHY,FALSE
1928,1920,1928-11-11,1930,2,White Shadows in the South Seas,White Shadows in the South Seas,Clyde De Vinna,CINEMATOGRAPHY,TRUE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Arthur Edeson,CINEMATOGRAPHY,FALSE
1928,1928,1928-10-03,1930,2,4 Devils,4 Devils,Ernest Palmer,CINEMATOGRAPHY,FALSE
1929,1920,1929-03-31,1930,2,The Divine Lady,The Divine Lady,John Seitz,CINEMATOGRAPHY,FALSE
1929,1920,1929-08-17,1930,2,Madame X,Madame X,Lionel Barrymore,DIRECTING,FALSE
1929,1920,1929-02-08,1930,2,The Broadway Melody,The Broadway Melody,Harry Beaumont,DIRECTING,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Irving Cummings,DIRECTING,FALSE
1929,1920,1929-03-31,1930,2,The Divine Lady,The Divine Lady,Frank Lloyd,DIRECTING,TRUE
1929,1920,1929-07-21,1930,2,Drag,Drag,Frank Lloyd,DIRECTING,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Ernst Lubitsch,DIRECTING,FALSE
1929,1920,1929-04-20,1930,2,Alibi,Alibi,Feature Productions,OUTSTANDING PICTURE,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Fox,OUTSTANDING PICTURE,FALSE
1929,1920,1929-02-08,1930,2,The Broadway Melody,The Broadway Melody,Metro-Goldwyn-Mayer,OUTSTANDING PICTURE,TRUE
1929,1920,1929-11-23,1930,2,Hollywood Revue,The Hollywood Revue of 1929,Metro-Goldwyn-Mayer,OUTSTANDING PICTURE,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Paramount Famous Lasky,OUTSTANDING PICTURE,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Tom Barry,WRITING,FALSE
1928,1920,1928-08-28,1930,2,The Cop,The Cop,Elliott Clawson,WRITING,FALSE
1929,1920,1929-07-06,1930,2,The Last of Mrs. Cheyney,The Last of Mrs. Cheyney,Hans Kraly,WRITING,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Hans Kraly,WRITING,TRUE
1928,1920,1928-09-01,1930,2,Our Dancing Daughters,Our Dancing Daughters,Josephine Lovett,WRITING,FALSE
1928,1920,1928-12-15,1930,2,A Woman of Affairs,A Woman of Affairs,Bess Meredyth,WRITING,FALSE
1929,1920,1929-11-01,1931,3,Disraeli,Disraeli,George Arliss,ACTOR,TRUE
1930,1930,1930-02-13,1931,3,The Green Goddess,The Green Goddess,George Arliss,ACTOR,FALSE
1930,1930,1930-06-14,1931,3,The Big House,The Big House,Wallace Beery,ACTOR,FALSE
1930,1930,1930-05-03,1931,3,The Big Pond,The Big Pond,Maurice Chevalier,ACTOR,FALSE
1929,1920,1929-05-02,1931,3,Bulldog Drummond,Bulldog Drummond,Ronald Colman,ACTOR,FALSE
1930,1930,1930-01-17,1931,3,The Rogue Song,The Rogue Song,Lawrence Tibbett,ACTOR,FALSE
1930,1930,1930-05-09,1931,3,The Devil's Holiday,The Devil's Holiday,Nancy Carroll,ACTRESS,FALSE
1930,1930,1930-03-14,1931,3,Sarah and Son,Sarah and Son,Ruth Chatterton,ACTRESS,FALSE
1930,1930,1930-02-21,1931,3,Anna Christie,Anna Christie,Greta Garbo,ACTRESS,FALSE
1930,1930,1930-04-19,1931,3,The Divorcee,The Divorcee,Norma Shearer,ACTRESS,TRUE
1929,1920,1929-12-27,1931,3,Their Own Desire,Their Own Desire,Norma Shearer,ACTRESS,FALSE
1929,1920,1929-11-11,1931,3,The Trespasser,The Trespasser,Gloria Swanson,ACTRESS,FALSE
1929,1920,1929-05-02,1931,3,Bulldog Drummond,Bulldog Drummond,(William Cameron Menzies),ART DIRECTION,FALSE
1930,1930,1930-04-20,1931,3,King of Jazz,King of Jazz,Herman Rosse,ART DIRECTION,TRUE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,(Hans Dreier),ART DIRECTION,FALSE
1930,1930,1930-01-12,1931,3,Sally,Sally,(Jack Okey),ART DIRECTION,FALSE
1930,1930,1930-02-17,1931,3,The Vagabond King,The Vagabond King,(Hans Dreier),ART DIRECTION,FALSE
1930,1930,1930-04-29,1931,3,All Quiet on the Western Front,All Quiet on the Western Front,(Arthur Edeson),CINEMATOGRAPHY,FALSE
1930,1930,1930-02-21,1931,3,Anna Christie,Anna Christie,(William Daniels),CINEMATOGRAPHY,FALSE
1930,1930,1930-11-15,1931,3,Hell's Angels,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)",CINEMATOGRAPHY,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,(Victor Milner),CINEMATOGRAPHY,FALSE
1930,1930,1930-06-19,1931,3,With Byrd at the South Pole,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer",CINEMATOGRAPHY,TRUE
1930,1930,1930-02-21,1931,3,Anna Christie,Anna Christie,Clarence Brown,DIRECTING,FALSE
1930,1930,1930-04-19,1931,3,The Divorcee,The Divorcee,Robert Leonard,DIRECTING,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,Ernst Lubitsch,DIRECTING,FALSE
1930,1930,1930-04-29,1931,3,All Quiet on the Western Front,All Quiet on the Western Front,Lewis Milestone,DIRECTING,TRUE
1929,1920,1929-08-20,1931,3,Hallelujah,Hallelujah,King Vidor,DIRECTING,FALSE
1930,1930,1930-04-29,1931,3,All Quiet on the Western Front,All Quiet on the Western Front,Universal,OUTSTANDING PRODUCTION,TRUE
1930,1930,1930-06-14,1931,3,The Big House,The Big House,Cosmopolitan,OUTSTANDING PRODUCTION,FALSE
1929,1920,1929-11-01,1931,3,Disraeli,Disraeli,Warner Bros.,OUTSTANDING PRODUCTION,FALSE
1930,1930,1930-04-19,1931,3,The Divorcee,The Divorcee,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,Paramount Famous Lasky,OUTSTANDING PRODUCTION,FALSE
1930,1930,1930-06-14,1931,3,The Big House,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",SOUND RECORDING,TRUE
1930,1930,1930-02-23,1931,3,The Case of Sergeant Grischa,The Case of Sergeant Grischa,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",SOUND RECORDING,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",SOUND RECORDING,FALSE
1930,1930,1930-07-24,1931,3,Raffles,Raffles,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",SOUND RECORDING,FALSE
1930,1930,1930-05-24,1931,3,Song of the Flame,The Song of the Flame,"(First National Studio Sound Department, George Groves, Sound Director)",SOUND RECORDING,FALSE
1930,1930,1930-04-29,1931,3,All Quiet on the Western Front,All Quiet on the Western Front,"(George Abbott), (Maxwell Anderson), (Del Andrews)",WRITING,FALSE
1930,1930,1930-06-14,1931,3,The Big House,The Big House,Frances Marion,WRITING,TRUE
1929,1920,1929-11-01,1931,3,Disraeli,Disraeli,(Julian Josephson),WRITING,FALSE
1930,1930,1930-04-19,1931,3,The Divorcee,The Divorcee,(John Meehan),WRITING,FALSE
1930,1930,1930-02-08,1931,3,Street of Chance,Street of Chance,(Howard Estabrook),WRITING,FALSE
1931,1930,1931-06-02,1931,4,A Free Soul,A Free Soul,Lionel Barrymore,ACTOR,TRUE
1931,1930,1931-04-25,1931,4,Skippy,Skippy,Jackie Cooper,ACTOR,FALSE
1931,1930,1931-01-26,1931,4,Cimarron,Cimarron,Richard Dix,ACTOR,FALSE
1930,1930,1930-12-22,1931,4,The Royal Family of Broadway,The Royal Family of Broadway,Fredric March,ACTOR,FALSE
1931,1930,1931-04-04,1931,4,The Front Page,The Front Page,Adolphe Menjou,ACTOR,FALSE
1930,1930,1930-11-14,1931,4,Morocco,Morocco,Marlene Dietrich,ACTRESS,FALSE
1930,1930,1930-11-29,1931,4,Min and Bill,Min and Bill,Marie Dressler,ACTRESS,TRUE
1931,1930,1931-01-26,1931,4,Cimarron,Cimarron,Irene Dunne,ACTRESS,FALSE
1930,1930,1930-07-03,1931,4,Holiday,Holiday,Ann Harding,ACTRESS,FALSE
1931,1930,1931-06-02,1931,4,A Free Soul,A Free Soul,Norma Shearer,ACTRESS,FALSE
1931,1930,1931-01-26,1931,4,Cimarron,Cimarron,Max Rée,ART DIRECTION,TRUE
1930,1930,1930-11-23,1931,4,Just Imagine,Just Imagine,"Stephen Goosson, Ralph Hammeras",ART DIRECTION,FALSE
1930,1930,1930-11-14,1931,4,Morocco,Morocco,Hans Dreier,ART DIRECTION,FALSE
1931,1930,1931-05-22,1931,4,Svengali,Svengali,Anton Grot,ART DIRECTION,FALSE
1930,1930,1930-10-05,1931,4,Whoopee!,Whoopee!,Richard Day,ART DIRECTION,FALSE
1931,1930,1931-01-26,1931,4,Cimarron,Cimarron,Edward Cronjager,CINEMATOGRAPHY,FALSE
1930,1930,1930-11-14,1931,4,Morocco,Morocco,Lee Garmes,CINEMATOGRAPHY,FALSE
1930,1930,1930-12-27,1931,4,The Right to Love,The Right to Love,Charles Lang,CINEMATOGRAPHY,FALSE
1931,1930,1931-05-22,1931,4,Svengali,Svengali,"Barney ""Chick"" McGill",CINEMATOGRAPHY,FALSE
1931,1930,1931-08-01,1931,4,Tabu,Tabu: A Story of the South Seas,Floyd Crosby,CINEMATOGRAPHY,TRUE
1931,1930,1931-01-26,1931,4,Cimarron,Cimarron,Wesley Ruggles,DIRECTING,FALSE
1931,1930,1931-06-02,1931,4,A Free Soul,A Free Soul,Clarence Brown,DIRECTING,FALSE
1931,1930,1931-04-04,1931,4,The Front Page,The Front Page,Lewis Milestone,DIRECTING,FALSE
1930,1930,1930-11-14,1931,4,Morocco,Morocco,Josef Von Sternberg,DIRECTING,FALSE
1931,1930,1931-04-25,1931,4,Skippy,Skippy,Norman Taurog,DIRECTING,TRUE
1931,1930,1931-01-26,1931,4,Cimarron,Cimarron,RKO Radio,OUTSTANDING PRODUCTION,TRUE
1931,1930,1931-03-01,1931,4,East Lynne,East Lynne,Fox,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-04-04,1931,4,The Front Page,The Front Page,The Caddo Company,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-04-25,1931,4,Skippy,Skippy,Paramount Publix,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-02-03,1931,4,Trader Horn,Trader Horn,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,FALSE
1930,1930,NA,1931,4,NA,NA,Samuel Goldwyn - United Artists Studio Sound Department,SOUND RECORDING,FALSE
1930,1930,NA,1931,4,NA,NA,Metro-Goldwyn-Mayer Studio Sound Department,SOUND RECORDING,FALSE
1930,1930,NA,1931,4,NA,NA,Paramount Publix Studio Sound Department,SOUND RECORDING,TRUE
1930,1930,NA,1931,4,NA,NA,RKO Radio Studio Sound Department,SOUND RECORDING,FALSE
1931,1930,1931-01-26,1931,4,Cimarron,Cimarron,Howard Estabrook,WRITING (Adaptation),TRUE
1931,1930,1931-01-03,1931,4,The Criminal Code,The Criminal Code,"Seton I. Miller, Fred Niblo, Jr.",WRITING (Adaptation),FALSE
1930,1930,1930-07-03,1931,4,Holiday,Holiday,Horace Jackson,WRITING (Adaptation),FALSE
1931,1930,1931-01-25,1931,4,Little Caesar,Little Caesar,"Francis Faragoh, Robert N. Lee",WRITING (Adaptation),FALSE
1931,1930,1931-04-25,1931,4,Skippy,Skippy,"Joseph L. Mankiewicz, Sam Mintz",WRITING (Adaptation),FALSE
1930,1930,1930-07-10,1931,4,The Dawn Patrol,The Dawn Patrol,John Monk Saunders,WRITING (Original Story),TRUE
1930,1930,1930-10-18,1931,4,The Doorway to Hell,The Doorway to Hell,Rowland Brown,WRITING (Original Story),FALSE
1930,1930,1930-09-24,1931,4,Laughter,Laughter,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",WRITING (Original Story),FALSE
1931,1930,1931-04-23,1931,4,The Public Enemy,The Public Enemy,"John Bright, Kubec Glasmon",WRITING (Original Story),FALSE
1931,1930,1931-06-11,1931,4,Smart Money,Smart Money,"Lucien Hubbard, Joseph Jackson",WRITING (Original Story),FALSE
1931,1930,1931-11-21,1933,5,The Champ,The Champ,Wallace Beery,ACTOR,TRUE
1931,1930,1931-11-07,1933,5,The Guardsman,The Guardsman,Alfred Lunt,ACTOR,FALSE
1931,1930,1931-12-24,1933,5,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,Fredric March,ACTOR,TRUE
1932,1930,1932-01-02,1933,5,Emma,Emma,Marie Dressler,ACTRESS,FALSE
1931,1930,1931-11-07,1933,5,The Guardsman,The Guardsman,Lynn Fontanne,ACTRESS,FALSE
1931,1930,1931-10-23,1933,5,The Sin of Madelon Claudet,The Sin of Madelon Claudet,Helen Hayes,ACTRESS,TRUE
1931,1930,1931-12-18,1933,5,À Nous la Liberté,À nous la liberté,Lazare Meerson,ART DIRECTION,FALSE
1931,1930,1931-12-07,1933,5,Arrowsmith,Arrowsmith,Richard Day,ART DIRECTION,FALSE
1931,1930,1931-08-30,1933,5,Transatlantic,Transatlantic,Gordon Wiles,ART DIRECTION,TRUE
1931,1930,1931-12-07,1933,5,Arrowsmith,Arrowsmith,Ray June,CINEMATOGRAPHY,FALSE
1931,1930,1931-12-24,1933,5,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,Karl Struss,CINEMATOGRAPHY,FALSE
1932,1930,1932-02-12,1933,5,Shanghai Express,Shanghai Express,Lee Garmes,CINEMATOGRAPHY,TRUE
1931,1930,1931-08-13,1933,5,Bad Girl,Bad Girl,Frank Borzage,DIRECTING,TRUE
1931,1930,1931-11-21,1933,5,The Champ,The Champ,King Vidor,DIRECTING,FALSE
1932,1930,1932-02-12,1933,5,Shanghai Express,Shanghai Express,Josef Von Sternberg,DIRECTING,FALSE
1931,1930,1931-12-07,1933,5,Arrowsmith,Arrowsmith,Samuel Goldwyn Productions,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-08-13,1933,5,Bad Girl,Bad Girl,Fox,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-11-21,1933,5,The Champ,The Champ,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-09-26,1933,5,Five Star Final,Five Star Final,First National,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-12-08,1933,5,Grand Hotel,Eine Nacht im Grandhotel,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,TRUE
1932,1930,1932-03-23,1933,5,One Hour with You,One Hour with You,Paramount Publix,OUTSTANDING PRODUCTION,FALSE
1932,1930,1932-02-12,1933,5,Shanghai Express,Shanghai Express,Paramount Publix,OUTSTANDING PRODUCTION,FALSE
1931,1930,1931-08-01,1933,5,The Smiling Lieutenant,The Smiling Lieutenant,Paramount Publix,OUTSTANDING PRODUCTION,FALSE
1932,1930,1932-07-23,1933,5,Flowers and Trees,Flowers and Trees,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),TRUE
1932,1930,1932-05-14,1933,5,It's Got Me Again,It's Got Me Again!,"Leon Schlesinger, Producer",SHORT SUBJECT (Cartoon),FALSE
1931,1930,1931-12-09,1933,5,Mickey's Orphans,Mickey's Orphans,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),FALSE
1932,1930,1932-06-16,1933,5,The Loud Mouth,The Loud Mouth,"Mack Sennett, Producer",SHORT SUBJECT (Comedy),FALSE
1932,1930,1932-04-16,1933,5,The Music Box,The Music Box,"Hal Roach, Producer",SHORT SUBJECT (Comedy),TRUE
1931,1930,1931-11-06,1933,5,Scratch-As-Catch-Can,Scratch-As-Catch-Can,RKO Radio,SHORT SUBJECT (Comedy),FALSE
1931,1930,1931-06-15,1933,5,Stout Hearts and Willing Hands,Stout Hearts and Willing Hands,RKO Radio,SHORT SUBJECT (Comedy),FALSE
1932,1930,1932-12-31,1933,5,Screen Souvenirs,Screen Souvenirs,Paramount Publix,SHORT SUBJECT (Novelty),FALSE
1930,1930,1930-05-18,1933,5,Swing High,Swing High,Metro-Goldwyn-Mayer,SHORT SUBJECT (Novelty),FALSE
1931,1930,1931-11-08,1933,5,Wrestling Swordfish,Wrestling Swordfish,"Mack Sennett, Producer",SHORT SUBJECT (Novelty),TRUE
1931,1930,NA,1933,5,NA,NA,Metro-Goldwyn-Mayer Studio Sound Department,SOUND RECORDING,FALSE
1931,1930,NA,1933,5,NA,NA,Paramount Publix Studio Sound Department,SOUND RECORDING,TRUE
1931,1930,NA,1933,5,NA,NA,RKO Radio Studio Sound Department,SOUND RECORDING,FALSE
1931,1930,NA,1933,5,NA,NA,Warner Bros.-First National Studio Sound Department,SOUND RECORDING,FALSE
1931,1930,1931-12-07,1933,5,Arrowsmith,Arrowsmith,Sidney Howard,WRITING (Adaptation),FALSE
1931,1930,1931-08-13,1933,5,Bad Girl,Bad Girl,Edwin Burke,WRITING (Adaptation),TRUE
1931,1930,1931-12-24,1933,5,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,"Percy Heath, Samuel Hoffenstein",WRITING (Adaptation),FALSE
1931,1930,1931-11-21,1933,5,The Champ,The Champ,Frances Marion,WRITING (Original Story),TRUE
1932,1930,1932-07-10,1933,5,Lady and Gent,Lady and Gent,"Grover Jones, William Slavens McNutt",WRITING (Original Story),FALSE
1931,1930,1931-08-22,1933,5,The Star Witness,The Star Witness,Lucien Hubbard,WRITING (Original Story),FALSE
1932,1930,1932-06-24,1933,5,What Price Hollywood?,What Price Hollywood?,"Adela Rogers St. Johns, Jane Murfin",WRITING (Original Story),FALSE
1931,1930,NA,1933,5,NA,NA,"Walt Disney for the creation of ""Mickey Mouse.""",SPECIAL AWARD,TRUE
1933,1930,1933-09-15,1933,6,Berkeley Square,Berkeley Square,Leslie Howard,ACTOR,FALSE
1933,1930,1933-09-21,1933,6,The Private Life of Henry VIII,The Private Life of Henry VIII,Charles Laughton,ACTOR,TRUE
1932,1930,1932-11-09,1933,6,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,Paul Muni,ACTOR,FALSE
1933,1930,1933-08-18,1933,6,Morning Glory,Morning Glory,Katharine Hepburn,ACTRESS,TRUE
1933,1930,1933-09-13,1933,6,Lady for a Day,Lady for a Day,May Robson,ACTRESS,FALSE
1933,1930,1933-04-14,1933,6,Cavalcade,Cavalcade,Diana Wynyard,ACTRESS,FALSE
1933,1930,1933-04-14,1933,6,Cavalcade,Cavalcade,William S. Darling,ART DIRECTION,TRUE
1932,1930,1932-12-08,1933,6,A Farewell to Arms,A Farewell to Arms,"Hans Dreier, Roland Anderson",ART DIRECTION,FALSE
1933,1930,1933-06-23,1933,6,When Ladies Meet,When Ladies Meet,Cedric Gibbons,ART DIRECTION,FALSE
1932,1930,NA,1933,6,NA,NA,Percy Ikerd (Fox),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,William Tummel (Fox),ASSISTANT DIRECTOR,TRUE
1932,1930,NA,1933,6,NA,NA,Charles Dorian (Metro-Goldwyn-Mayer),ASSISTANT DIRECTOR,TRUE
1932,1930,NA,1933,6,NA,NA,Bunny Dull (Metro-Goldwyn-Mayer),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,John S. Waters (Metro-Goldwyn-Mayer),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,Charles Barton (Paramount),ASSISTANT DIRECTOR,TRUE
1932,1930,NA,1933,6,NA,NA,Sidney S. Brod (Paramount),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,Arthur Jacobson (Paramount),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,Eddie Killey (RKO Radio),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,Dewey Starkey (RKO Radio),ASSISTANT DIRECTOR,TRUE
1932,1930,NA,1933,6,NA,NA,Fred Fox (United Artists),ASSISTANT DIRECTOR,TRUE
1932,1930,NA,1933,6,NA,NA,Benjamin Silvey (United Artists),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,Scott Beal (Universal),ASSISTANT DIRECTOR,TRUE
1932,1930,NA,1933,6,NA,NA,Joe McDonough (Universal),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,W. J. Reiter (Universal),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,Al Alborn (Warner Bros.),ASSISTANT DIRECTOR,FALSE
1932,1930,NA,1933,6,NA,NA,Gordon Hollingshead (Warner Bros.),ASSISTANT DIRECTOR,TRUE
1932,1930,NA,1933,6,NA,NA,Frank X. Shaw (Warner Bros.),ASSISTANT DIRECTOR,FALSE
1932,1930,1932-12-08,1933,6,A Farewell to Arms,A Farewell to Arms,"Charles Bryant Lang, Jr.",CINEMATOGRAPHY,TRUE
1933,1930,1933-06-16,1933,6,Reunion in Vienna,Reunion in Vienna,George J. Folsey,CINEMATOGRAPHY,FALSE
1932,1930,1932-11-30,1933,6,The Sign of the Cross,The Sign of the Cross,Karl Struss,CINEMATOGRAPHY,FALSE
1933,1930,1933-04-14,1933,6,Cavalcade,Cavalcade,Frank Lloyd,DIRECTING,TRUE
1933,1930,1933-09-13,1933,6,Lady for a Day,Lady for a Day,Frank Capra,DIRECTING,FALSE
1933,1930,1933-11-24,1933,6,Little Women,Little Women,George Cukor,DIRECTING,FALSE
1933,1930,1933-04-14,1933,6,Cavalcade,Cavalcade,Fox,OUTSTANDING PRODUCTION,TRUE
1932,1930,1932-12-08,1933,6,A Farewell to Arms,A Farewell to Arms,Paramount,OUTSTANDING PRODUCTION,FALSE
