year_film,release_date,year_ceremony,film,winner,Genre,Runtime,Meta_score,Nominated_Both_Director_and_Picture,Golden_Globe_Picture_Winner,pga_winner
2008.0,2008-12-25,2009,The Curious Case of Benjamin Button,False,"Drama, Fantasy, Romance",166 min,70.0,True,False,False
2008.0,2008-12-10,2009,The Reader,False,"Drama, Mystery, Romance",124 min,58.0,True,False,False
2007.0,2007-12-07,2008,Atonement,False,"Drama, Mystery, Romance",123 min,85.0,False,True,False
2007.0,2007-12-05,2008,Juno,False,"Comedy, Drama",96 min,81.0,True,False,False
2007.0,2007-10-05,2008,Michael Clayton,False,"Crime, Drama, Mystery, Thriler",119 min,82.0,True,False,False
2007.0,2007-11-08,2008,No Country for Old Men,True,"Crime, Drama, Thriller",122 min,91.0,True,False,True
2007.0,2007-12-26,2008,There Will Be Blood,False,Drama,158 min,93.0,True,False,False
2006.0,2006-10-27,2007,Babel,False,Drama,153 min,69.0,True,True,False
2006.0,2006-12-20,2007,Letters from Iwo Jima,False,"Action, Adventure, Drama",141 min,89.0,True,False,False
2006.0,2006-07-26,2007,Little Miss Sunshine,False,"Comedy, Drama",101 min,80.0,False,False,True
2006.0,2006-10-05,2007,The Departed,True,"Crime, Drama, Thriller",151 min,85.0,True,False,False
2006.0,2006-09-30,2007,The Queen,False,"Biography, Drama",103 min,90.0,True,False,False
2005.0,2005-12-09,2006,Brokeback Mountain,False,"Drama, Romance",134 min,87.0,True,True,True
2005.0,2005-09-30,2006,Capote,False,"Biography, Crime, Drama, History",114 min,88.0,True,False,False
2005.0,2005-05-06,2006,Crash,True,"Crime, Drama, Thriller",112 min,66.0,True,False,False
2005.0,2005-10-07,2006,"Good Night, and Good Luck",False,"Biography, Drama, History",93 min,80.0,True,False,False
2005.0,2005-12-23,2006,Munich,False,"Drama, History, Thriller",164 min,74.0,True,False,False
2004.0,2004-11-11,2005,Finding Neverland,False,"Biography, Drama, Family",106 min,67.0,False,False,False
2004.0,2004-12-15,2005,Million Dollar Baby,True,"Drama, Sport",132 min,86.0,True,False,False
2004.0,2004-10-29,2005,Ray,False,"Biography, Drama, Music",152 min,73.0,True,False,False
2004.0,2004-10-22,2005,Sideways,False,"Comedy, Drama, Romance",127 min,94.0,True,True,False
2004.0,2004-12-17,2005,The Aviator,False,"Biography, Drama",170 min,77.0,True,True,True
2003.0,2003-09-18,2004,Lost in Translation,False,"Comedy, Drama",102 min,89.0,True,True,False
2003.0,2003-11-14,2004,Master and Commander: The Far Side of the World,False,"Action, Adventure, Drama, War",138 min,81.0,True,False,False
2003.0,2003-10-08,2004,Mystic River,False,"Crime, Drama, Mystery",138 min,84.0,True,False,False
2003.0,2003-07-22,2004,Seabiscuit,False,"Drama, History, Sport",140 min,72.0,False,False,False
2003.0,2003-12-17,2004,The Lord of the Rings: The Return of the King,True,"Action, Adventure, Drama",201 min,94.0,True,True,False
2002.0,2002-12-27,2003,Chicago,True,"Comedy, Crime, Musical",113 min,81.0,True,True,True
2002.0,2002-12-19,2003,Gangs of New York,False,"Crime, Drama",167 min,72.0,True,False,False
2002.0,2002-12-27,2003,The Hours,False,"Drama, Romance",110 min,80.0,True,True,False
2002.0,2002-12-18,2003,The Lord of the Rings: The Two Towers,False,"Action, Adventure, Drama",179 min,87.0,False,False,False
2002.0,2002-12-25,2003,The Pianist,False,"Biography, Drama, Music",150 min,85.0,True,False,False
2001.0,2001-12-21,2002,A Beautiful Mind,True,"Biography, Drama",135 min,72.0,True,True,False
